x_m,y_m,z_m,FOF,HF,Temperature_K,TempGrad_Kpm,Vx,Vy,Vz,Vmag,x_mm,y_mm,z_mm,power_W,kNN,cond_A,grad_valid,Q,Q_pos_flag,vorticity_mag,strain2,is_interface,is_heated,is_interface_heated,is_slice_near_symmetry,slice_y_threshold_m
0.00519809,0.000301908,-3.01e-06,0.9997,0.0,1681.97,1698940.0,0.00661453,0.000742895,-0.00185366,0.00690941,5.19809,0.301908,-0.00301,350,25,6.317544307813416,1,1954.784452155096,1,181.1075614964689,12490.405511288438,0,0,0,0,2e-05
0.00519817,0.000489461,0.000280303,0.798324,0.0,1765.99,1439120.0,0.056671,0.0113355,-0.0238709,0.0625293,5.19817,0.489461,0.28030299999999997,350,25,1.4742126849325912,1,-41641.69730593021,0,266.7528345519024,118861.93198259774,1,0,0,0,2e-05
0.00519839,0.000104887,0.000419252,0.9042260000000001,0.0,2419.94,4949920.0,-0.0615497,0.007416,0.05664637142857143,0.0839772,5.19839,0.104887,0.419252,350,25,2.465355238344668,1,-801144.3920700708,0,1624.4016637967322,2921629.1668129377,1,0,0,0,2e-05
0.00519984,0.000505558,0.000198386,0.911022,0.0,1708.05,1441450.0,0.0324201,0.005413190000000001,-0.0133778,0.0354871,5.19984,0.5055580000000001,0.198386,350,25,1.5669775474429997,1,-25776.49468980179,0,280.0047114757398,90754.30860390973,1,0,0,0,2e-05
0.00519989,0.000295811,0.000384922,0.7506411666666667,0.0,2040.4800000000002,2274370.0,0.06236450000000001,0.05114095,-0.0159556,0.082215,5.199890000000001,0.295811,0.384922,350,25,5.217449495993591,1,-101642.39911654976,0,1381.7462176632491,1157896.1032464467,1,0,0,0,2e-05
0.00519992,0.000200171,0.000402111,0.97438,0.0,2181.93,3381850.0,0.0342008,0.0329326,0.0135403,0.049372,5.1999200000000005,0.200171,0.40211100000000005,350,25,6.187185324998551,1,-1864527.3211269812,0,1436.8412571814347,4761311.041423325,1,0,0,0,2e-05
0.0052,1.23981e-09,0.0003,0.999975,0.0,2370.08,3827540.0,-0.0125069,0.0091944,-0.00138182,0.0155842,5.2,1.23981e-06,0.3,350,25,3.674281147641749,1,-11906.596829121583,0,809.0095884774571,351061.4507824754,0,0,0,1,2e-05
0.0052,3.09069e-09,0.0002,0.999938,0.0,2161.87,2943700.0,0.0152081,0.00766863,-0.00581954,0.0179989,5.2,3.0906899999999996e-06,0.2,350,25,18.662972404065837,1,-85250.40599895641,0,4956.968441978458,12456268.879383083,0,0,0,1,2e-05
0.0052,3.09367e-09,0.0002,0.999938,0.0,2161.87,2943700.0,0.0152081,0.00766863,-0.00581954,0.0179989,5.2,3.09367e-06,0.2,350,25,18.662976554390863,1,-85250.45988345891,0,4956.969369796959,12456273.586319545,0,0,0,1,2e-05
0.0052,3.17117e-09,1.89028e-16,0.999937,0.0,1836.83,1955950.0,0.00321304,0.00137456,0.000221249,0.00350171,5.2,3.17117e-06,1.89028e-13,350,25,1.7694319338533357,1,-1841.950340378136,0,28.007955574002057,4076.1234684739084,0,0,0,1,2e-05
0.0052,3.17117e-09,3.78057e-16,0.999937,0.0,1836.83,1955950.0,0.00321304,0.00137456,0.000221249,0.00350171,5.2,3.17117e-06,3.7805700000000004e-13,350,25,1.7694319338556188,1,-1841.950340379491,0,28.00795557408312,4076.123468478889,0,0,0,1,2e-05
